Date,RBC Open,RBC High,RBC Low,RBC Close,RBC Adj Close,RBC Volume,BMO Open,BMO High,BMO Low,BMO Close,BMO Adj Close,BMO Volume,,Drop down,,,,,,,,,,,,,Date,RBC Volume,RBC Volume
1/21/2022,$115.65,$115.85,$113.15,$114.01,$109.46,1324000,$115.45,$115.94,$114.17,$114.87,$110.60,3369100,1,RBC Volume,,,,,,,,,,,,,1/21/2022,1324000,1324000
1/24/2022,$111.33,$112.62,$109.66,$112.42,$107.94,1183400,$112.89,$113.62,$110.79,$113.40,$109.19,3267500,2,RBC Volume,,,,,,,,,,,,,1/24/2022,1183400,1183400
1/25/2022,$111.64,$115.13,$110.55,$114.30,$109.74,908900,$111.70,$112.91,$110.11,$111.89,$108.64,2650900,STOCK,RBC,,,,,,,,,,,,,1/25/2022,908900,908900
1/26/2022,$115.78,$117.06,$114.84,$115.38,$110.78,1038300,$112.92,$113.61,$110.90,$111.61,$108.37,3378400,,,,,,,,,,,,,,,1/26/2022,1038300,1038300
1/27/2022,$116.39,$116.93,$113.37,$113.64,$109.11,778900,$112.48,$113.34,$111.11,$111.49,$108.26,1519700,,,,,,,,,,,,,,,1/27/2022,778900,778900
1/28/2022,$113.37,$113.37,$111.71,$113.06,$108.55,1589100,$111.62,$112.18,$110.93,$112.13,$108.88,1913600,,,,,,,,,,,,,,,1/28/2022,1589100,1589100
1/31/2022,$111.60,$113.62,$111.18,$113.18,$109.68,2471300,$112.01,$114.29,$111.92,$114.04,$110.73,1508500,,,,,,,,,,,,,,,1/31/2022,2471300,2471300
2/1/2022,$113.32,$114.99,$113.24,$114.78,$111.23,1488700,$114.23,$115.34,$113.80,$115.15,$111.81,1372400,,,,,,,,,,,,,,,2/1/2022,1488700,1488700
2/2/2022,$115.37,$117.36,$115.19,$117.11,$113.48,886300,$115.87,$116.32,$115.30,$115.86,$112.50,1361700,,,,,,,,,,,,,,,2/2/2022,886300,886300
2/3/2022,$116.84,$116.94,$116.13,$116.47,$112.86,1429700,$115.20,$115.94,$114.93,$115.13,$111.79,1329600,,,,,,,,,,,,,,,2/3/2022,1429700,1429700
2/4/2022,$115.94,$116.74,$115.19,$116.24,$112.64,613500,$114.73,$115.43,$114.19,$115.11,$111.77,1197300,,,,,,,,,,,,,,,2/4/2022,613500,613500
2/7/2022,$117.10,$117.39,$116.34,$117.03,$113.41,1330300,$115.43,$115.96,$114.86,$115.05,$111.71,1482900,,,,,,,,,,,,,,,2/7/2022,1330300,1330300
2/8/2022,$117.07,$118.54,$116.94,$118.24,$114.58,796700,$115.18,$116.25,$115.03,$116.03,$112.66,1555600,,,,,,,,,,,,,,,2/8/2022,796700,796700
2/9/2022,$118.76,$119.60,$118.43,$119.01,$115.33,546800,$116.63,$116.84,$115.27,$115.58,$112.23,1182600,,,,,,,,,,,,,,,2/9/2022,546800,546800
2/10/2022,$118.88,$120.87,$118.62,$119.16,$115.47,581600,$114.88,$116.15,$114.23,$114.46,$111.14,1187300,,,,,,,,,,,,,,,2/10/2022,581600,581600
2/11/2022,$118.75,$120.53,$117.78,$118.17,$114.51,737700,$114.48,$116.03,$114.17,$114.69,$111.36,1553500,,,,,,,,,,,,,,,2/11/2022,737700,737700
2/14/2022,$117.94,$118.03,$116.17,$116.87,$113.25,875200,$114.38,$114.42,$113.05,$113.90,$110.60,1415100,,,,,,,,,,,,,,,2/14/2022,875200,875200
2/15/2022,$118.12,$118.12,$116.60,$117.45,$113.81,688300,$114.61,$114.75,$113.55,$113.91,$110.61,1025500,,,,,,,,,,,,,,,2/15/2022,688300,688300
2/16/2022,$117.59,$118.58,$117.21,$117.93,$114.28,469100,$114.01,$114.98,$113.75,$114.32,$111.00,963600,,,,,,,,,,,,,,,2/16/2022,469100,469100
2/17/2022,$117.22,$117.69,$115.49,$115.66,$112.08,738800,$113.72,$113.75,$111.32,$111.34,$108.11,1113400,,,,,,,,,,,,,,,2/17/2022,738800,738800
2/18/2022,$115.94,$116.28,$114.60,$114.80,$111.25,769500,$111.29,$111.85,$110.25,$110.52,$107.31,1281000,,,,,,,,,,,,,,,2/18/2022,769500,769500
2/22/2022,$113.95,$115.59,$113.44,$114.70,$111.15,1977500,$110.35,$111.82,$110.19,$111.53,$108.29,2083900,,,,,,,,,,,,,,,2/22/2022,1977500,1977500
2/23/2022,$115.74,$115.88,$113.05,$113.24,$109.73,965200,$111.75,$112.16,$109.75,$109.91,$106.72,1572000,,,,,,,,,,,,,,,2/23/2022,965200,965200
2/24/2022,$108.81,$111.34,$108.38,$111.19,$107.75,1717700,$106.03,$108.04,$105.46,$107.48,$104.36,2299400,,,,,,,,,,,,,,,2/24/2022,1717700,1717700
2/25/2022,$112.32,$114.84,$112.12,$114.38,$110.84,1088000,$108.80,$110.89,$108.14,$110.49,$107.28,1802800,,,,,,,,,,,,,,,2/25/2022,1088000,1088000
2/28/2022,$112.20,$114.16,$112.20,$113.90,$110.37,1219800,$108.98,$110.83,$108.53,$110.42,$107.22,2782900,,,,Open,115.650002,,,,,,,,,,2/28/2022,1219800,1219800
3/1/2022,$115.36,$116.61,$112.32,$113.42,$109.91,1365600,$110.21,$110.58,$107.40,$107.80,$104.67,1601500,,,,Low,111.330002,,,,,,,,,,3/1/2022,1365600,1365600
3/2/2022,$114.93,$117.55,$114.64,$116.89,$113.27,887400,$108.75,$110.22,$108.68,$108.99,$105.83,1681200,,,,High,111.639999,,,,,,,,,,3/2/2022,887400,887400
3/3/2022,$117.23,$117.71,$115.91,$116.52,$112.91,774100,$109.03,$111.13,$108.88,$109.64,$106.46,1378200,,,,52 Week Low,81.57,,,,,,,,,,3/3/2022,774100,774100
3/4/2022,$114.25,$115.35,$113.20,$114.91,$111.35,889800,$108.07,$109.01,$107.29,$108.70,$105.55,1464600,,,,52 Week High,122.769997,,,,,,,,,,3/4/2022,889800,889800
3/7/2022,$113.38,$114.21,$111.08,$111.08,$107.64,1108300,$108.30,$108.46,$106.05,$106.40,$103.31,1790500,,,,,,,,,,,,,,,3/7/2022,1108300,1108300
3/8/2022,$111.47,$113.15,$109.80,$110.95,$107.52,1197300,$106.25,$107.08,$104.28,$105.02,$101.97,2051100,,,,,,,,,,,,,,,3/8/2022,1197300,1197300
3/9/2022,$113.50,$115.21,$112.80,$114.90,$111.34,883200,$106.69,$108.37,$106.69,$107.63,$104.51,1166000,,,,,,,,,,,,,,,3/9/2022,883200,883200
3/10/2022,$114.20,$115.61,$113.63,$114.80,$111.25,648200,$107.17,$108.53,$107.00,$108.28,$105.14,902400,,,,,,,,,,,,,,,3/10/2022,648200,648200
3/11/2022,$115.57,$116.71,$115.34,$115.49,$111.91,661200,$109.00,$109.88,$108.34,$108.38,$105.24,633100,,,,,,,,,,,,,,,3/11/2022,661200,661200
3/14/2022,$115.76,$117.43,$115.61,$116.01,$112.42,711700,$108.92,$110.05,$107.79,$108.47,$105.32,880200,,,,,,,,,,,,,,,3/14/2022,711700,711700
3/15/2022,$116.16,$116.58,$114.83,$116.33,$112.73,892000,$108.76,$109.91,$107.85,$109.72,$106.54,820700,,,,,,,,,,,,,,,3/15/2022,892000,892000
3/16/2022,$117.82,$119.77,$117.35,$119.38,$115.68,986300,$111.22,$111.89,$109.35,$111.08,$107.86,1361300,,,,,,,,,,,,,,,3/16/2022,986300,986300
3/17/2022,$119.05,$120.35,$118.84,$120.32,$116.60,747600,$110.82,$112.40,$110.69,$112.36,$109.10,865000,,,,,,,,,,,,,,,3/17/2022,747600,747600
3/18/2022,$119.62,$121.55,$119.37,$121.26,$117.51,942800,$112.33,$113.19,$111.35,$112.88,$109.61,1149000,,,,,,,,,,,,,,,3/18/2022,942800,942800
3/21/2022,$121.89,$122.18,$121.00,$121.38,$117.62,764700,$113.27,$113.55,$112.82,$113.40,$110.11,782200,,,,,,,,,,,,,,,3/21/2022,764700,764700
3/22/2022,$121.94,$122.77,$121.50,$122.34,$118.55,668100,$113.76,$114.55,$113.54,$113.82,$110.52,874900,,,,,,,,,,,,,,,3/22/2022,668100,668100
3/23/2022,$118.40,$118.94,$117.73,$117.76,$114.11,1451500,$113.13,$113.31,$111.54,$111.71,$108.47,822500,,,,,,,,,,,,,,,3/23/2022,1451500,1451500
3/24/2022,$118.21,$119.22,$117.93,$118.79,$115.11,779600,$112.52,$113.07,$111.47,$112.21,$108.95,595900,,,,,,,,,,,,,,,3/24/2022,779600,779600
3/25/2022,$118.93,$119.85,$118.90,$119.76,$116.05,635200,$112.40,$113.56,$112.28,$113.36,$110.07,618700,,,,,,,,,,,,,,,3/25/2022,635200,635200
3/28/2022,$119.25,$119.28,$118.12,$119.28,$115.59,520900,$112.93,$113.06,$111.71,$112.45,$109.19,681600,,,,,,,,,,,,,,,3/28/2022,520900,520900
3/29/2022,$120.10,$120.44,$118.91,$119.27,$115.58,663000,$113.47,$113.67,$112.19,$112.37,$109.11,1165400,,,,,,,,,,,,,,,3/29/2022,663000,663000
3/30/2022,$119.61,$119.88,$118.47,$118.73,$115.05,650800,$112.92,$113.06,$111.45,$112.12,$108.87,720200,,,,,,,,,,,,,,,3/30/2022,650800,650800
3/31/2022,$118.42,$119.27,$117.75,$117.97,$114.32,1277300,$111.58,$112.19,$110.19,$110.27,$107.07,811100,,,,,,,,,,,,,,,3/31/2022,1277300,1277300
4/1/2022,$118.65,$118.79,$116.47,$116.99,$113.37,712900,$110.64,$110.75,$108.79,$109.74,$106.56,639400,,,,,,,,,,,,,,,4/1/2022,712900,712900
4/4/2022,$117.01,$117.98,$116.36,$117.64,$114.00,537900,$110.00,$111.00,$109.39,$110.70,$107.49,741200,,,,,,,,,,,,,,,4/4/2022,537900,537900
4/5/2022,$117.76,$119.55,$117.46,$118.29,$114.63,713900,$110.73,$112.00,$110.22,$110.47,$107.27,702100,,,,,,,,,,,,,,,4/5/2022,713900,713900
4/6/2022,$117.91,$118.17,$116.25,$116.79,$113.17,749800,$110.04,$110.36,$108.91,$109.45,$106.27,847900,,,,,,,,,,,,,,,4/6/2022,749800,749800
4/7/2022,$116.32,$116.45,$113.44,$114.38,$110.84,800200,$109.24,$109.28,$107.08,$107.67,$104.55,874800,,,,,,,,,,,,,,,4/7/2022,800200,800200
4/8/2022,$114.42,$115.83,$114.39,$115.32,$111.75,507000,$107.69,$109.11,$107.61,$108.70,$105.55,630200,,,,,,,,,,,,,,,4/8/2022,507000,507000
4/11/2022,$114.98,$115.80,$114.19,$114.50,$110.96,671200,$108.82,$109.71,$108.41,$108.86,$105.70,828300,,,,,,,,,,,,,,,4/11/2022,671200,671200
4/12/2022,$114.53,$115.00,$112.75,$113.20,$109.70,521900,$108.86,$109.62,$107.40,$107.94,$104.81,900900,,,,,,,,,,,,,,,4/12/2022,521900,521900
4/13/2022,$112.51,$113.47,$111.53,$113.34,$109.83,671100,$107.43,$108.65,$106.95,$108.58,$105.43,788500,,,,,,,,,,,,,,,4/13/2022,671100,671100
4/14/2022,$113.39,$114.22,$113.14,$113.53,$110.02,487000,$108.55,$109.27,$108.30,$108.51,$105.36,683700,,,,,,,,,,,,,,,4/14/2022,487000,487000
4/18/2022,$113.15,$114.04,$112.95,$113.35,$109.84,403500,$108.32,$109.41,$108.10,$108.69,$105.54,575300,,,,,,,,,,,,,,,4/18/2022,403500,403500
